**

| Folder             | Functionality                                                |
| ------------------ | ------------------------------------------------------------ |
| web_app            | controls the frontend user interface and client logic for an ESP32-driven DSP piano visualizer. It manages sheet music PDF parsing, optical music recognition (OMR) transcription via Gemini AI, local Web Audio synthesis, falling-note waterfall rendering, and real-time score tracking matching acoustic input to expected sheet music. |
| tools              | Python automation harnesses and developer tooling for the DSP piano visualizer project. It manages real-time audio latency benchmarking, synthetic WebSocket streaming tests, server lifecycle startup automation, test fixture generation, and transcription accuracy scoring against golden MIDI references. |
|                    |                                                              |
| server             | controls the central backend runtime for the DSP piano learning assistant. It manages incoming audio ingestion via WebSockets (`ingest.py` -> `AudioIngest`), pitch transcription (`load_transcriber()`, `transcriber/basic_pitch.py`, `transcriber/fake.py`), REST endpoints for PDF sheet music parsing (`index.js` -> `/upload-pdf`, `/transcribe`), real-time score tracking synchronization (`index.js` -> `processNoteInput()`), and bidirectional event broadcasting to connected frontend clients (`broadcast.py` -> `NoteBroadcaster`). |
| web                | controls the modern React frontend interface and build pipeline for the DSP piano application. It manages the single-page application entry point (`index.html`), component bundling and hot-module replacement (`vite.config.js`), utility-first CSS design tokens (`tailwind.config.js`, `postcss.config.js`, `references_styles/token.css`), and the core application UI hierarchy (`src/main.tsx`, `src/App.tsx`). |
| scripts            | controls the automated frontend build utilities for the project. It manages the dependency bundling and script assembly pipeline (`build_final_bar_matching_browser_bundle.js` -> `bundleFinalBarMatching()`) that packages raw backend tracking modules into a single browser-ready distribution. |
|                    |                                                              |
| mobile             | controls the React Native mobile client and device integration for the DSP piano application. It manages the Expo application configuration (`app.json`), TypeScript build settings (`tsconfig.json`), AI agent onboarding documentation (`AGENTS.md`, `CLAUDE.md`), native application bootstrapping (`index.ts`), and the primary mobile visualizer UI (`App.tsx`). |
| fixtures           | controls the static test data and golden evaluation assets for the test suites. It manages pre-generated acoustic chord recordings (`cmaj_chord.wav`) and their corresponding reference note annotations (`cmaj_chord.mid`) used to benchmark stream latency and measure transcription accuracy. |
| final_bar_matching | controls the real-time music information retrieval (MIR) algorithms and score-following logic. It manages JSON score structural normalization (`score_normalizer.js`), timestamp grouping (`score_preprocessor.js`), acoustic frequency-to-MIDI conversions (`frequency_to_midi.js`), chord similarity comparisons (`chord_compare.js`), stream ingestion (`frequency_event_adapter.js`), automated page-turn state tracking (`full_score_progress_tracker.js`), and end-of-measure detection (`final_bar_matcher.js`). |
|                    |                                                              |
| contracts          | controls the cross-language data serialization protocols and interface boundaries between firmware, backend, and clients. It manages binary audio frame packing and unpacking for streaming over WebSockets (`audio_stream_v1.c` -> `audio_stream_v1_encode_audio()`, `audio_stream_v1.py` -> `decode()`), JSON event schema definitions for pitch notifications (`note_events_v1.py` -> `NoteEventV1`, `note_events_v1_schema.json`), and native C library compilation (`CMakeLists.txt`). |
|                    |                                                              |
|                    |                                                              |
